old	newPackage	newName	newPath
OO0O	clap.model	DataRecord_OO0O	clap\model\DataRecord_OO0O.java
oo0o_0	clap.module.client	ChatTranslatorModule	clap\module\client\ChatTranslatorModule.java
oo0o_1	clap.render	ScaledDrawContext	clap\render\ScaledDrawContext.java
oo0o_2	clap.event	Listener	clap\event\Listener.java
oo0_0	clap.model	DataRecord_oo0_0	clap\model\DataRecord_oo0_0.java
oo0_1	clap.module.movement	FastWebModule	clap\module\movement\FastWebModule.java
oo0_2	clap.gui	GuiSupport_oo0_2	clap\gui\GuiSupport_oo0_2.java
OOi$oiI	clap.api	ApiSupport_OOi_oiI	clap\api\ApiSupport_OOi_oiI.java
oOI$OoOi	clap.api	ApiSupport_oOI_OoOi	clap\api\ApiSupport_oOI_OoOi.java
OOI	clap.gui	GuiSupport_OOI	clap\gui\GuiSupport_OOI.java
OoI0$OOI0	clap.support	Support_OoI0_OOI0	clap\support\Support_OoI0_OOI0.java
OOI0$OOo	clap.network	NetworkSupport_OOI0_OOo	clap\network\NetworkSupport_OOI0_OOo.java
ooi0$ooo_0	clap.api	ApiSupport_ooi0_ooo_0	clap\api\ApiSupport_ooi0_ooo_0.java
OOI0	clap.model	DataRecord_OOI0	clap\model\DataRecord_OOI0.java
ooi0_0	clap.event.network	PacketReceiveEvent	clap\event\network\PacketReceiveEvent.java
ooi0_1	clap.config	ConfigSupport_ooi0_1	clap\config\ConfigSupport_ooi0_1.java
ooi0_2	clap.gui	GuiSupport_ooi0_2	clap\gui\GuiSupport_ooi0_2.java
Ooii$00i	clap.support	Support_Ooii_00i	clap\support\Support_Ooii_00i.java
OOII	clap.gui	GuiSupport_OOII	clap\gui\GuiSupport_OOII.java
ooii_0	clap.model	DataRecord_ooii_0	clap\model\DataRecord_ooii_0.java
ooii_1	clap.command.impl	CommandsCommand	clap\command\impl\CommandsCommand.java
ooii_2	clap.config	ConfigSupport_ooii_2	clap\config\ConfigSupport_ooii_2.java
ooii_3	clap.module.movement	MoveFixModule	clap\module\movement\MoveFixModule.java
ooii_4	clap.module.movement	InventoryMoveModule	clap\module\movement\InventoryMoveModule.java
ooii_5	clap.command.impl	ConfigCommand	clap\command\impl\ConfigCommand.java
ooii_6	clap.config	ConfigSupport_ooii_6	clap\config\ConfigSupport_ooii_6.java
Ooio$0Oii	clap.api	ApiSupport_Ooio_0Oii	clap\api\ApiSupport_Ooio_0Oii.java
OoIO$OoI0	clap.api	ApiSupport_OoIO_OoI0	clap\api\ApiSupport_OoIO_OoI0.java
OOIO	clap.manager	Manager	clap\manager\Manager.java
ooio_0	clap.model	EnumType_ooio_0	clap\model\EnumType_ooio_0.java
ooio_1	clap.model	DataRecord_ooio_1	clap\model\DataRecord_ooio_1.java
ooio_2	clap.module.combat	KillAuraModule	clap\module\combat\KillAuraModule.java
ooio_3	clap.gui.screen	HudEditorScreenV2	clap\gui\screen\HudEditorScreenV2.java
ooio_4	clap.gui.screen	AuthWelcomeScreen	clap\gui\screen\AuthWelcomeScreen.java
ooio_5	clap.config	ConfigSupport_ooio_5	clap\config\ConfigSupport_ooio_5.java
ooio_6	clap.render	RenderSupport_ooio_6	clap\render\RenderSupport_ooio_6.java
ooi_0	clap.render	RenderSupport_ooi_0	clap\render\RenderSupport_ooi_0.java
ooi_1	clap.render	RenderSupport_ooi_1	clap\render\RenderSupport_ooi_1.java
ooi_2	clap.model	DataRecord_ooi_2	clap\model\DataRecord_ooi_2.java
ooi_3	clap.command.impl	FriendCommand	clap\command\impl\FriendCommand.java
ooi_4	clap.gui	GuiSupport_ooi_4	clap\gui\GuiSupport_ooi_4.java
ooi_5	clap.module.player	ExtinguisherModule	clap\module\player\ExtinguisherModule.java
ooi_6	clap.config	ConfigSupport_ooi_6	clap\config\ConfigSupport_ooi_6.java
OoO$ioi	clap.api	ApiSupport_OoO_ioi	clap\api\ApiSupport_OoO_ioi.java
OOO	clap.event.network	PacketEvent	clap\event\network\PacketEvent.java
OOo0$000o	clap.api	ApiSupport_OOo0_000o	clap\api\ApiSupport_OOo0_000o.java
OOO0	clap.model	EnumType_OOO0	clap\model\EnumType_OOO0.java
ooo0_0	clap.config	ConfigSupport_ooo0_0	clap\config\ConfigSupport_ooo0_0.java
ooo0_1	clap.config	ConfigSupport_ooo0_1	clap\config\ConfigSupport_ooo0_1.java
ooo0_2	clap.event	EventHandler	clap\event\EventHandler.java
OOoi$iII	clap.api	ApiSupport_OOoi_iII	clap\api\ApiSupport_OOoi_iII.java
OOoi$OIoI	clap.support	Support_OOoi_OIoI	clap\support\Support_OOoi_OIoI.java
OOOI	clap.module.render	PostProcessingModule	clap\module\render\PostProcessingModule.java
oooi_0	clap.module.hud	InventoryHudElement	clap\module\hud\InventoryHudElement.java
oooi_1	clap.gui	GuiSupport_oooi_1	clap\gui\GuiSupport_oooi_1.java
oooi_2	clap.render.texture	NamedNativeImageTexture	clap\render\texture\NamedNativeImageTexture.java
oooi_3	clap.config	ConfigSupport_oooi_3	clap\config\ConfigSupport_oooi_3.java
oooi_4	clap.config	ConfigSupport_oooi_4	clap\config\ConfigSupport_oooi_4.java
oooi_5	clap.model	EnumType_oooi_5	clap\model\EnumType_oooi_5.java
oooi_6	clap.model	EnumType_oooi_6	clap\model\EnumType_oooi_6.java
Oooo$00i	clap.api	ApiSupport_Oooo_00i	clap\api\ApiSupport_Oooo_00i.java
OOoo$0o0o	clap.api	ApiSupport_OOoo_0o0o	clap\api\ApiSupport_OOoo_0o0o.java
OooO$IOO	clap.support	Support_OooO_IOO	clap\support\Support_OooO_IOO.java
OOoO$OiiO	clap.api	ApiSupport_OOoO_OiiO	clap\api\ApiSupport_OOoO_OiiO.java
OOOO$ooi	clap.support	Support_OOOO_ooi	clap\support\Support_OOOO_ooi.java
OOOO	clap.core.module	Module	clap\core\module\Module.java
oooo_0	clap.config	ConfigSupport_oooo_0	clap\config\ConfigSupport_oooo_0.java
oooo_1	clap.render	RenderSupport_oooo_1	clap\render\RenderSupport_oooo_1.java
oooo_2	clap.render	RenderSupport_oooo_2	clap\render\RenderSupport_oooo_2.java
oooo_3	clap.config	ConfigSupport_oooo_3	clap\config\ConfigSupport_oooo_3.java
oooo_4	clap.module.player	AutoToolModule	clap\module\player\AutoToolModule.java
oooo_5	clap.module.combat	AimAssistModule	clap\module\combat\AimAssistModule.java
oooo_6	clap.module.hud	RadarHudElement	clap\module\hud\RadarHudElement.java
ooo_0	clap.render	RenderSupport_ooo_0	clap\render\RenderSupport_ooo_0.java
ooo_1	clap.module.combat	AntiKnockbackModule	clap\module\combat\AntiKnockbackModule.java
ooo_2	clap.config	ConfigSupport_ooo_2	clap\config\ConfigSupport_ooo_2.java
ooo_3	clap.model	EnumType_ooo_3	clap\model\EnumType_ooo_3.java
ooo_4	clap.module.client	AntiResourcePackModule	clap\module\client\AntiResourcePackModule.java
ooo_5	clap.command	Command	clap\command\Command.java
ooo_6	clap.model	DataRecord_ooo_6	clap\model\DataRecord_ooo_6.java
