old	newPackage	newName	newPath
0OOI	clap.model	DataRecord_0OOI	clap\model\DataRecord_0OOI.java
0ooi_0	clap.network	NetworkSupport_0ooi_0	clap\network\NetworkSupport_0ooi_0.java
0ooi_1	clap.render	RenderSupport_0ooi_1	clap\render\RenderSupport_0ooi_1.java
0ooi_2	clap.model	EnumType_0ooi_2	clap\model\EnumType_0ooi_2.java
0ooi_3	clap.model	EnumType_0ooi_3	clap\model\EnumType_0ooi_3.java
0ooi_4	clap.module.render	BlockHighlightModule	clap\module\render\BlockHighlightModule.java
0OoO$0o00	clap.api	ApiSupport_0OoO_0o00	clap\api\ApiSupport_0OoO_0o00.java
0Ooo$OiIo	clap.network	NetworkSupport_0Ooo_OiIo	clap\network\NetworkSupport_0Ooo_OiIo.java
0ooO$Oioo	clap.api	ApiSupport_0ooO_Oioo	clap\api\ApiSupport_0ooO_Oioo.java
0OOO	clap.config	ConfigSupport_0OOO	clap\config\ConfigSupport_0OOO.java
0ooo_0	clap.module.client	HudEditorModule	clap\module\client\HudEditorModule.java
0ooo_1	clap.render	RenderSupport_0ooo_1	clap\render\RenderSupport_0ooo_1.java
0ooo_2	clap.model	EnumType_0ooo_2	clap\model\EnumType_0ooo_2.java
0ooo_3	clap.config	ConfigSupport_0ooo_3	clap\config\ConfigSupport_0ooo_3.java
0ooo_4	clap.model	EnumType_0ooo_4	clap\model\EnumType_0ooo_4.java
0ooo_5	clap.command.argument	ArgumentType_0ooo_5	clap\command\argument\ArgumentType_0ooo_5.java
0oo_0	clap.module.hud	FpsHudElement	clap\module\hud\FpsHudElement.java
0oo_1	clap.module.render	SpawnerFinderModule	clap\module\render\SpawnerFinderModule.java
0oo_2	clap.gui	GuiSupport_0oo_2	clap\gui\GuiSupport_0oo_2.java
i00$oio	clap.support	Support_i00_oio	clap\support\Support_i00_oio.java
I00	clap.model	EnumType_I00	clap\model\EnumType_I00.java
i00_0	clap.config	ConfigSupport_i00_0	clap\config\ConfigSupport_i00_0.java
i0i$OiOi	clap.api	ApiSupport_i0i_OiOi	clap\api\ApiSupport_i0i_OiOi.java
I0I	clap.command.impl	IrcCommand	clap\command\impl\IrcCommand.java
i0i_0	clap.model	DataRecord_i0i_0	clap\model\DataRecord_i0i_0.java
i0i_1	clap.module.render	OreEspModule	clap\module\render\OreEspModule.java
i0i_2	clap.network	NetworkSupport_i0i_2	clap\network\NetworkSupport_i0i_2.java
i0o$I0o	clap.api	ApiSupport_i0o_I0o	clap\api\ApiSupport_i0o_I0o.java
I0o$OoIi	clap.config	ConfigSupport_I0o_OoIi	clap\config\ConfigSupport_I0o_OoIi.java
I0O	clap.model	DataRecord_I0O	clap\model\DataRecord_I0O.java
i0o_0	clap.model	DataRecord_i0o_0	clap\model\DataRecord_i0o_0.java
i0o_1	clap.module.combat	KeyPearlModule	clap\module\combat\KeyPearlModule.java
i0o_2	clap.module.render	WorldTimeModule	clap\module\render\WorldTimeModule.java
iI0$00iI	clap.support	Support_iI0_00iI	clap\support\Support_iI0_00iI.java
II0	clap.config	ConfigSupport_II0	clap\config\ConfigSupport_II0.java
ii0_0	clap.model	DataRecord_ii0_0	clap\model\DataRecord_ii0_0.java
ii0_1	clap.model	DataRecord_ii0_1	clap\model\DataRecord_ii0_1.java
ii0_2	clap.model	EnumType_ii0_2	clap\model\EnumType_ii0_2.java
iII$i0O	clap.api	ApiSupport_iII_i0O	clap\api\ApiSupport_iII_i0O.java
IIi$III	clap.api	ApiSupport_IIi_III	clap\api\ApiSupport_IIi_III.java
IiI$Oioo	clap.api	ApiSupport_IiI_Oioo	clap\api\ApiSupport_IiI_Oioo.java
iii$oioo_0	clap.config	ConfigSupport_iii_oioo_0	clap\config\ConfigSupport_iii_oioo_0.java
III	clap.gui	GuiSupport_III	clap\gui\GuiSupport_III.java
iii_0	clap.model	EnumType_iii_0	clap\model\EnumType_iii_0.java
iii_1	clap.model	DataRecord_iii_1	clap\model\DataRecord_iii_1.java
iii_2	clap.gui	GuiSupport_iii_2	clap\gui\GuiSupport_iii_2.java
iii_3	clap.command.argument	ArgumentType_iii_3	clap\command\argument\ArgumentType_iii_3.java
iii_4	clap.module.hud	PotionEffectsHudElement	clap\module\hud\PotionEffectsHudElement.java
iii_5	clap.config	ConfigSupport_iii_5	clap\config\ConfigSupport_iii_5.java
iii_6	clap.model	EnumType_iii_6	clap\model\EnumType_iii_6.java
IIo$oiI	clap.config	ConfigSupport_IIo_oiI	clap\config\ConfigSupport_IIo_oiI.java
IIo$OIIo	clap.api	ApiSupport_IIo_OIIo	clap\api\ApiSupport_IIo_OIIo.java
iio$oiio_0	clap.api	ApiSupport_iio_oiio_0	clap\api\ApiSupport_iio_oiio_0.java
IIO	clap.module.render	ItemTagsModule	clap\module\render\ItemTagsModule.java
iio_0	clap.config	ConfigSupport_iio_0	clap\config\ConfigSupport_iio_0.java
iio_1	clap.gui	GuiSupport_iio_1	clap\gui\GuiSupport_iio_1.java
iio_2	clap.config	ConfigSupport_iio_2	clap\config\ConfigSupport_iio_2.java
iio_3	clap.model	EnumType_iio_3	clap\model\EnumType_iio_3.java
iio_4	clap.module.movement	SpeedModule	clap\module\movement\SpeedModule.java
iio_5	clap.render	RenderSupport_iio_5	clap\render\RenderSupport_iio_5.java
iio_6	clap.module.player	FastCraftModule	clap\module\player\FastCraftModule.java
IO0	clap.config	ConfigSupport_IO0	clap\config\ConfigSupport_IO0.java
io0_0	clap.network	NetworkSupport_io0_0	clap\network\NetworkSupport_io0_0.java
io0_1	clap.model	EnumType_io0_1	clap\model\EnumType_io0_1.java
io0_2	clap.render	RenderSupport_io0_2	clap\render\RenderSupport_io0_2.java
IoI$0o0I	clap.support	Support_IoI_0o0I	clap\support\Support_IoI_0o0I.java
IOi$O00i	clap.api	ApiSupport_IOi_O00i	clap\api\ApiSupport_IOi_O00i.java
IOi$OII	clap.api	ApiSupport_IOi_OII	clap\api\ApiSupport_IOi_OII.java
ioi$oOo	clap.api	ApiSupport_ioi_oOo	clap\api\ApiSupport_ioi_oOo.java
IOI	clap.module.movement	SprintModule	clap\module\movement\SprintModule.java
ioi_0	clap.module.combat	TriggerbotModule	clap\module\combat\TriggerbotModule.java
ioi_1	clap.model	EnumType_ioi_1	clap\model\EnumType_ioi_1.java
ioi_2	clap.module.player	FastPlaceModule	clap\module\player\FastPlaceModule.java
ioi_3	clap.module.render	NoHurtCamModule	clap\module\render\NoHurtCamModule.java
ioi_4	clap.module.client	ClientSpoofModule	clap\module\client\ClientSpoofModule.java
ioi_5	clap.event	Event	clap\event\Event.java
ioi_6	clap.config	ConfigSupport_ioi_6	clap\config\ConfigSupport_ioi_6.java
IoO$0oO	clap.support	Support_IoO_0oO	clap\support\Support_IoO_0oO.java
Ioo$Oioo	clap.api	ApiSupport_Ioo_Oioo	clap\api\ApiSupport_Ioo_Oioo.java
IOO	clap.module.hud	WatermarkHudElement	clap\module\hud\WatermarkHudElement.java
ioo_0	clap.module.render	TrapDetectorModule	clap\module\render\TrapDetectorModule.java
ioo_1	clap.setting	Setting	clap\setting\Setting.java
ioo_2	clap.model	DataRecord_ioo_2	clap\model\DataRecord_ioo_2.java
ioo_3	clap.config	ConfigSupport_ioo_3	clap\config\ConfigSupport_ioo_3.java
ioo_4	clap.module.hud	TargetHudElement	clap\module\hud\TargetHudElement.java
ioo_5	clap.model	DataRecord_ioo_5	clap\model\DataRecord_ioo_5.java
ioo_6	clap.module.combat	MiddleClickFriendModule	clap\module\combat\MiddleClickFriendModule.java
o00$Io0	clap.api	ApiSupport_o00_Io0	clap\api\ApiSupport_o00_Io0.java
o00$oOo	clap.api	ApiSupport_o00_oOo	clap\api\ApiSupport_o00_oOo.java
O00	clap.event	EventBusApi	clap\event\EventBusApi.java
O000$00OI	clap.api	ApiSupport_O000_00OI	clap\api\ApiSupport_O000_00OI.java
O000	clap.gui	GuiSupport_O000	clap\gui\GuiSupport_O000.java
O00I	clap.model	EnumType_O00I	clap\model\EnumType_O00I.java
o00i_0	clap.nativeapi	User32WindowApi	clap\nativeapi\User32WindowApi.java
O00O	clap.module.combat	AntiBotModule	clap\module\combat\AntiBotModule.java
o00o_0	clap.module.client	StreamproofModule	clap\module\client\StreamproofModule.java
o00_0	clap.config	ConfigSupport_o00_0	clap\config\ConfigSupport_o00_0.java
O0I$0O0I	clap.api	ApiSupport_O0I_0O0I	clap\api\ApiSupport_O0I_0O0I.java
O0i$OIO	clap.api	ApiSupport_O0i_OIO	clap\api\ApiSupport_O0i_OIO.java
O0I	clap.config	ConfigSupport_O0I	clap\config\ConfigSupport_O0I.java
O0i0$00iO	clap.support	Support_O0i0_00iO	clap\support\Support_O0i0_00iO.java
O0I0	clap.render	RenderSupport_O0I0	clap\render\RenderSupport_O0I0.java
o0i0_0	clap.model	DataRecord_o0i0_0	clap\model\DataRecord_o0i0_0.java
O0Ii$o0O	clap.config	ConfigSupport_O0Ii_o0O	clap\config\ConfigSupport_O0Ii_o0O.java
O0II$OII	clap.api	ApiSupport_O0II_OII	clap\api\ApiSupport_O0II_OII.java
O0II	clap.model	EnumType_O0II	clap\model\EnumType_O0II.java
